401,0,"News Online Today | publication date | 1998/04/26
Minster Nespola | employer | ABILA
doctors | employer | ABILA
hospital in Abila | employer | ABILA
ABILA | employer | Nespola
ABILA | employer | Minister for health Cesare Nespola
ABILA | employer | Minster Nespola
ABILA | employer | doctors
ABILA | employer | hospital in Abila
Nespola | employer | Kronos
Minister for health Cesare Nespola | employer | Kronos
Minster Nespola | employer | Kronos
doctors | employer | Kronos
hospital in Abila | employer | Kronos
Kronos | employer | Nespola
Kronos | employer | Minister for health Cesare Nespola
Kronos | employer | Minster Nespola
Kronos | employer | doctors
Kronos | employer | hospital in Abila",26.345130920410156,1143,733
837,0,"Worldwise | date of event | 2005/04/08
Traffic of block of protesters to the fields of curve of Tiskele | date of event | 2005/04/08
Traffic of block of protesters to the fields of curve of Tiskele | location | Tiskele
Traffic of block of protesters to the fields of curve of Tiskele | start time | 5:30 hour of the morning
Traffic of block of protesters to the fields of curve of Tiskele | end time | 9 hours of the morning
Traffic of block of protesters to the fields of curve of Tiskele | duration | three hours
Traffic of block of protesters to the fields of curve of Tiskele | participant | police force
Traffic of block of protesters to the fields of curve of Tiskele | participant | POK
Traffic of block of protesters to the fields of curve of Tiskele | participant | ABILA, Kronos
POK | participant in | Traffic of block of protesters to the fields of curve of Tiskele
ABILA, Kronos | participant in | Traffic of block of protesters to the fields of curve of Tiskele
police force | participant in | Traffic of block of protesters to the fields of curve of Tiskele
Tiskele | location of event | Traffic of block of protesters to the fields of curve of Tiskele
2005/04/08 | date of event | Traffic of block of protesters to the fields of curve of Tiskele
2005/04/08 | date of event | Worldwise
5:30 hour of the morning | start time of event | Traffic of block of protesters to the fields of curve of Tiskele
9 hours of the morning | end time of event | Traffic of block of protesters to the fields of curve of Tiskele
three hours | duration of event | Traffic of block of protesters to the fields of curve of Tiskele",13.982322692871094,1151,403
837,1,"Rufus Drymiau | part of | Parliament
Parliament | contains | Rufus Drymiau
Hardenings | part of | POK
POK | contains | Hardenings
second hour | part of | 837
837 | contains | second hour",2.420064687728882,1107,56
838,0,"Worldwise | located in the administrative territorial entity | Abila
Sanjorge | located in the administrative territorial entity | Abila
GAStech | located in the administrative territorial entity | Abila
HQ of GAStech | located in the administrative territorial entity | Abila
Kronos | located in the administrative territorial entity | Abila
Tethys | located in the administrative territorial entity | Abila
Sten Sanjorge Jr. | located in the administrative territorial entity | Abila
President Kapelou | located in the administrative territorial entity | Abila
Worldwise | country | Abila
Sanjorge | country | Abila
GAStech | country | Abila
HQ of GAStech | country | Abila
Kronos | country | Abila
Tethys | country | Abila
Sten Sanjorge Jr. | country | Abila
President Kapelou | country | Abila
GAStech | inception | 20th year
GAStech | headquarters location | HQ of GAStech
Sten Sanjorge Jr. | position held | President Kapelou
Sten Sanjorge Jr. | employer | GAStech
GAStech | significant event | 2014/01/21
GAStech | parent organization | Sanjorge
GAStech | subsidiary | Worldwise
GAStech | product or material produced | Kronos
GAStech | product or material produced | Tethys",11.677027225494385,1145,309
838,1,GAStech | event | press conference,0.6109964847564697,1097,8
839,0,"Worldwise | inception | 1993/01/20
Worldwise | country | Kronos
Worldwise | industry | companies of development of energy
The government | country | Kronos
The government | head of state | President Araullo
The government | legislative body | Parliament
ABILA | country | Kronos
ABILA | industry | companies of development of energy
Parliament | country | Kronos
Parliament | head of state | President Araullo
President Araullo | country | Kronos
Sarto, Minister of Interior Department | country | Kronos
Sarto, Minister of Interior Department | position held | Minister of Interior Department
Kronosians | country | Kronos
companies of development of energy | country | Kronos
ministry for interior | country | Kronos
ministry for interior | head of government | Sarto, Minister of Interior Department
Tiskele | country | Kronos
20 years | point in time | 1993/01/20
Kronosians | ethnic group | Kronos
Sarto, Minister of Interior Department | employer | ministry for interior
The government | member of | Parliament
The government | head of government | Sarto, Minister of Interior Department
President Araullo | position held | President of Kronos
Worldwise | located in the administrative territorial entity | ABILA
Worldwise | located in the administrative territorial entity | Tiskele
ABILA | located in the administrative territorial entity | Kronos
Tiskele | located in the administrative territorial entity | Kronos
ministry for interior | located in the administrative territorial entity | Kronos
Parliament | located in the administrative territorial entity | Kronos
The government | located in the administrative territorial entity | Kronos
President Araullo | located in the administrative territorial entity | Kronos
Sarto, Minister of Interior Department | located in the administrative territorial entity | Kronos
Kronosians | located in the administrative territorial entity | Kronos
companies of development of energy | located in the administrative territorial entity | Kronos
Worldwise | time period | 20 years
ABILA | time period | 20 years
Tiskele | time period | 20 years
The government | time period | 20 years
Parliament | time period | 20 years
President Araullo | time period | 20 years
Sarto, Minister of Interior Department | time period | 20 years
Kronosians | time period | 20 years
companies of development of energy | time period | 20 years
ministry for interior | time period | 20 years",17.527902603149414,1146,538
840,0,"Worldwise | industry | oil
Worldwise | industry | gas
Parliament | inception | 2001/03/18
ABILA, Kronos | ownership percentage | 10%
General meeting | number of participants | 77
General meeting | number of participants | 23
Minister of health Cesare Nespola | occupation | health
Minister of health Cesare Nespola | occupation | medical education
rural sectors | industry | agriculture
foreign investment | industry | energy
rural suburbs | located in the administrative territorial entity | ABILA, Kronos
end of this year | point in time | 2001/03/18
Worldwise | industry | energy
rural sectors | industry | water
rural sectors | industry | health
rural sectors | industry | medical education
foreign investment | industry | oil
foreign investment | industry | gas
rural suburbs | located in the administrative territorial entity | Worldwise
Minister of health Cesare Nespola | occupation | Minister of health
Parliament | located in the administrative territorial entity | ABILA, Kronos
Parliament | located in the administrative territorial entity | Worldwise
ABILA, Kronos | industry | oil
ABILA, Kronos | industry | gas
ABILA, Kronos | industry | energy
ABILA, Kronos | industry | water
ABILA, Kronos | industry | health
ABILA, Kronos | industry | medical education
Worldwise | located in the administrative territorial entity | ABILA, Kronos
Worldwise | located in the administrative territorial entity | Parliament
Worldwise | located in the administrative territorial entity | rural suburbs
Worldwise | located in the administrative territorial entity | Minister of health Cesare Nespola
Worldwise | located in the administrative territorial entity | General meeting
Worldwise | located in the administrative territorial entity | rural sectors
Worldwise | located in the administrative territorial entity | foreign investment
Worldwise | located in the administrative territorial entity | end of this year
Worldwise | located in the administrative territorial entity | 840
Worldwise | located in the administrative territorial entity | 2001/03/18
Worldwise | located in the administrative territorial entity | 10%
Worldwise | located in the administrative territorial entity | 77
Worldwise | located in the administrative territorial entity | 23
Worldwise | located in the administrative territorial entity | ABILA, Kronos
Worldwise | located in the administrative territorial entity | oil
Worldwise | located in the administrative territorial entity | gas
Worldwise | located in the administrative territorial entity | Parliament
Worldwise | located in the administrative territorial entity | health
Worldwise | located in the administrative territorial entity | water
Worldwise | located in the administrative territorial entity | medical education
Worldwise | located in the administrative territorial entity | rural sectors
Worldwise | located in the administrative territorial entity | foreign investment
Worldwise | located in the administrative territorial entity | energy
Worldwise | located in the administrative territorial entity | rural suburbs
Worldwise | located in the administrative territorial entity | end of this year
