doc_key,processed_entities,output_tokens,entities_not_from_list
0,"One World Research Institute for Social Development | located in the administrative territorial entity | Kronos
Hyper Acidic disposal of the substrate | located in the administrative territorial entity | Abila",625,0
765,"ABILA | inception | 1997
Kronos | inception | 1997
Cesare Nespola | located in the administrative territorial entity | ABILA
MINISTER KRONOS HEALTH | inception | 1997
Elodis | inception | 1997
Elodis | located in the administrative territorial entity | ABILA
Henk Bodrogi | located in the administrative territorial entity | ABILA
MINISTER KRONOS HEALTH | country | ABILA
Cesare Nespola | country | ABILA
THE REPRESENTATIVES POK | located in the administrative territorial entity | ABILA
Kronos | country | ABILA
Cesare Nespola | inception | 1997
Henk Bodrogi | inception | 1997
The Wrap | inception | 1998/11/15
The Wrap | country | ABILA
Elodis | country | ABILA
Kronos | located in the administrative territorial entity | ABILA
THE REPRESENTATIVES POK | country | ABILA
MINISTER KRONOS HEALTH | located in the administrative territorial entity | ABILA
The Wrap | located in the administrative territorial entity | ABILA
Henk Bodrogi | country | ABILA
THE REPRESENTATIVES POK | inception | 1997",273,0
766,"Juliana Vann | cause of death | leukemia
GAStech | location | Elodis
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | subject | Juliana Vann
benzene | location | Kronos
Tethys company GAStech | inception | 21 augusts
Juliana Vann | cause of death | benzene
Juliana Vann | location | Kronos
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | location | Kronos
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | location | ELODIS
GAStech | location | Kronos
Wellness | location | ELODIS
Wellness | location | Kronos
Wellness | location | Elodis
government of Kronos | location | Kronos
Juliana Vann | location | ELODIS
leukemia | location | Elodis
Tiskele | employee | Tethys company GAStech
The Wrap | publication date | 1998/08/21
Elodis | country | Kronos
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | publication date | 1998/08/21
benzene | location | ELODIS
leukemia | location | ELODIS
Juliana | employee | Tethys company GAStech
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | subject | GAStech
leukemia | location | Kronos
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | subject | government of Kronos
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | subject | Wellness
ELODIS | country | Kronos
benzene | location | Elodis
government of Kronos | location | ELODIS
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | location | Elodis
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | cause of death | benzene
TEN YEARS OLD LITTLE GIRL OF ELODIS DIES OF POISONING | cause of death | leukemia
government of Kronos | location | Elodis
GAStech | location | ELODIS
Juliana Vann | location | Elodis",527,0
767,"GAStech | affiliation | WHO
Michale Kraft | located in the administrative territorial entity | Kronos
Michale Kraft | employer | The Wrap
GAStech | employee | Tethyn
Elian Karel | death date | 2009/06/20
the office of the President | position held by | Juliana Vann
The Wrap | publication date | 2009/06/20
Abila | employer | The Wrap
the office of the LEADER of police force | start time | March
Kronos | employer | The Wrap
Karel | start time | March
Abila | residence | Elian Karel
GAStech | inception | 1998
the office of the President | position held by | Kriste Brontes
WHO | affiliation | GAStech
Kriste Brontes | position held | the office of the President
Michale Kraft | employer | ELIAN KAREL DEAD IN PRISON KRONOS
the office of the minister of justice | start time | March
Elian Karel | death place | ABILA, Kronos
Tethyn | employer | GAStech
Tethyn | start time | March
Kronos | employer | ELIAN KAREL DEAD IN PRISON KRONOS
Elodis | start time | March
Tethyn | position held | the office of the minister of justice
Abila | residence | Michale Kraft
Juliana Vann | employer | GAStech
GAStech | employee | Juliana Vann
Abila | located in the administrative territorial entity | Kronos
Abila | nationality | Kronos
Abila | country | Kronos
Elian Karel | employer | ELIAN KAREL DEAD IN PRISON KRONOS
Kriste Brontes | employer | GAStech
Elodis | employer | GAStech
Elian Karel | death cause | The Wrap
Elian Karel | nationality | Kronos
Abila | employer | ELIAN KAREL DEAD IN PRISON KRONOS
Elodis | position held | the office of the LEADER of police force
Juliana Vann | position held | the office of the President
GAStech | employee | Kriste Brontes
the office of the minister of justice | position held by | Karel
Kriste Brontes | start time | March
Kronos | contains administrative territorial entity | Abila
GAStech | headquarters location | POK
Kronos | residence | Michale Kraft
Elian Karel | employer | The Wrap
GAStech | start time | March
Michale Kraft | nationality | Kronos
Juliana Vann | start time | March
Elian Karel | residence | Abila
the office of the LEADER of police force | position held by | Elodis
Elian Karel | death place | Kronos
GAStech | employee | Elodis
Michale Kraft | birth date | 12 March
Michale Kraft | country | Kronos
Karel | employer | GAStech
Karel | position held | the office of the minister of justice
the office of the President | start time | March
Elian Karel | death cause | ELIAN KAREL DEAD IN PRISON KRONOS
ELIAN KAREL DEAD IN PRISON KRONOS | location of formation | Kronos
Kronos | residence | Elian Karel
GAStech | employee | Karel
POK | contains administrative territorial entity | GAStech
Michale Kraft | residence | Abila
ELIAN KAREL DEAD IN PRISON KRONOS | publication date | 2009/06/20
The Wrap | location of formation | Kronos
Kronos | contains administrative territorial entity | Michale Kraft
the office of the minister of justice | position held by | Tethyn",819,0
768,"Osvaldo | employer | GAStech
Tethys | employer | Reese
Sten Sanjorge Sr | employer | Tethys
The Wrap | contains administrative territorial entity | Two weeks
KRONOS | inception | 1998/03/21
Sten Sanjorge Sr | employer | Hank Fluss
Pondo Reese | country | ELODIS
Elodis | contains administrative territorial entity | Elodis weekly day book
Mt shadow | country | ELODIS
GAStech | business partner | Reese
Tethys | employer | Hank Fluss
Tiskele | located in the administrative territorial entity | ELODIS
Kronos | publication date | 1998/03/21
Osvaldo | colleague | Henk Bodrogi
Hank Fluss | employer | Tethys
GAStech | inception | 25 April, 1998
Reese | colleague | Henk Bodrogi
Sanjorge SR | business partner | GAStech
The Wrap | publication date | Two weeks
Reese | employer | Tethys
Reese | employer | Hank Fluss
Reese | age | 94
Hank Fluss | employer | Sten Sanjorge Jr
250 years | point in time | ELODIS
Elodis | business partner | Reese
Sanjorge SR | business partner | Reese
Sten Sanjorge Jr | employer | Tethys
ELODIS | inception | 1998/03/21
Sten Sanjorge Sr | age | 94
Hank Fluss | age | 94
Reese | employer | GAStech
Reese | colleague | Osvaldo
Elodis | business partner | Sanjorge SR
Henk Bodrogi | colleague | Reese
Reese | employer | Sten Sanjorge Jr
Pondo Reese | located in the administrative territorial entity | ELODIS
Sten Sanjorge Sr | employer | GAStech
The Wrap | duration | Two weeks
Elodis | contains administrative territorial entity | Mt shadow
Elodis | contains administrative territorial entity | Pondo Reese
Sten Sanjorge Jr | parent | Sten Sanjorge Sr
Tethys | age | 94
Elodis | notable work | Elodis weekly day book
Reese | business partner | Elodis
Mt shadow | notable work | Elodis weekly day book
GAStech | business partner | Sanjorge SR
Mt shadow | located in the administrative territorial entity | ELODIS
Kronos | notable work | Elodis weekly day book
Elodis | contains administrative territorial entity | Tiskele
Tiskele | notable work | Elodis weekly day book
Reese | business partner | Sanjorge SR
Sten Sanjorge Jr | employer | GAStech
Sten Sanjorge Sr | child | Sten Sanjorge Jr
Elodis weekly day book | country | ELODIS
Osvaldo | colleague | Reese
Hank Fluss | employer | Reese
Elodis | contains administrative territorial entity | Kronos
Sanjorge SR | business partner | Elodis
Pondo Reese | notable work | Elodis weekly day book
Elodis | publication date | 1998/03/21
GAStech | business partner | Elodis
Tethys | employer | GAStech
Elodis | business partner | GAStech
The Wrap | notable work | Elodis weekly day book
Kronos | country | ELODIS
Sten Sanjorge Jr | birth year | 1961
Sten Sanjorge Jr | employer | Hank Fluss
Sten Sanjorge Sr | employer | Sten Sanjorge Jr
Two weeks | point in time | The Wrap
Kronos | located in the administrative territorial entity | ELODIS
Sten Sanjorge Sr | employer | Reese
Reese | business partner | GAStech
Henk Bodrogi | employer | GAStech
Elodis | inception | 1998/03/21
Tiskele | country | ELODIS
Sten Sanjorge Jr | age | 94
Elodis weekly day book | publication date | Two weeks
Elodis weekly day book | duration | Two weeks
Elodis weekly day book | located in the administrative territorial entity | ELODIS
Tethys | employer | Sten Sanjorge Jr
Kronos | duration | 250 years
Elodis | duration | 250 years
Henk Bodrogi | colleague | Osvaldo
Hank Fluss | employer | GAStech
Sten Sanjorge Jr | employer | Reese",1013,0
769,"Community center of health | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
1998 | publication date | The Wrap
arsenic | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
ELODIS | mentioned in | The Wrap
Wellness for all | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
ELODIS | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
30 | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
Kronos | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
The Wrap | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
vinegar anhydride | mentioned in | The Wrap
chlorine dioxide | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
Kronos | mentioned in | The Wrap
arsenic | mentioned in | The Wrap
THE SHEET OF THE PUBLIC HEALTH ELODIS | mentioned in | The Wrap
Community center of health | mentioned in | The Wrap
1998 | publication date | THE SHEET OF THE PUBLIC HEALTH ELODIS
benzene | mentioned in | The Wrap
THE SHEET OF THE PUBLIC HEALTH ELODIS | publication date | 1998/05/17
The Wrap | publication date | 1998/05/17
Wellness for all | mentioned in | The Wrap
Elodis | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
Elodis | mentioned in | The Wrap
30 | mentioned in | The Wrap
chlorine dioxide | mentioned in | The Wrap
vinegar anhydride | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS
benzene | mentioned in | THE SHEET OF THE PUBLIC HEALTH ELODIS",379,0
770,"offices of the President | held by | President
President | number | 14
The Wrap | inception | 1993/02/04
Kronos | country | ABILA
Delouse Araullo | located in the administrative territorial entity | ABILA
President | related to | health care
Tomas Sarto | inception | 1993/02/04
President | holds office | offices of the President
President | related to | money
The Wrap | country | ABILA
ABILA | inception | 1993/02/04
Kronos | located in the administrative territorial entity | ABILA
Tomas Sarto | country | ABILA
Tomas Sarto | located in the administrative territorial entity | ABILA
The Wrap | located in the administrative territorial entity | ABILA
Delouse Araullo | inception | 1993/02/04
President | related to | education
Delouse Araullo | country | ABILA
Kronos | inception | 1993/02/04",212,0
771,"LEADER | inception | 1998
Juliana Vann | spouse | Karel
Mestache Vardshvna | publication date | 2012/09/08
Kronos | publication date | 2012/09/08
